Title,Year,Rating,URL
A Silent Voice,2016,8.2,https://www.imdb.com/title/tt5323662/?ref_=chttp_t_220
The Terminator,1984,8.1,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_221
The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_222
Maharaja,2024,8.3,https://www.imdb.com/title/tt26548265/?ref_=chttp_t_223
Jai Bhim,2021,8.6,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_224
The Sound of Music,1965,8.1,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_225
The Big Lebowski,1998,8.1,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_226
The Best Years of Our Lives,1946,8.1,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_227
The Seventh Seal,1957,8.1,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_228
Room,2015,8.1,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_229
Before Sunset,2004,8.1,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_230
Hotel Rwanda,2004,8.1,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_231
The Incredibles,2004,8.0,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_232
Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_233
Hachi: A Dog's Tale,2009,8.1,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_234
Chainsaw Man - The Movie: Reze Arc,2025,8.3,https://www.imdb.com/title/tt30472557/?ref_=chttp_t_235
The Exorcist,1973,8.1,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_236
Rush,2013,8.1,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_237
The Wizard of Oz,1939,8.1,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_238
The Iron Giant,1999,8.1,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_239
Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_240
The Passion of Joan of Arc,1928,8.1,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_241
My Father and My Son,2005,8.2,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_242
The Battle of Algiers,1966,8.1,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_243
The Handmaiden,2016,8.1,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_244
Network,1976,8.1,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_245
Gangs of Wasseypur,2012,8.2,https://www.imdb.com/title/tt1954470/?ref_=chttp_t_246
To Be or Not to Be,1942,8.1,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_247
Drishyam,2015,8.2,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_248
The Grapes of Wrath,1940,8.1,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_249
96,2018,8.5,https://www.imdb.com/title/tt7019842/?ref_=chttp_t_250
